teamAbbr,teamPTS,opptAbbr,opptPTS,teamRslt,teamLoc,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8
PHO,97,UTA,88,Win,Home,23,25,23,26,0,0,0,0,13,28,18,29,0,0,0,0
GS,117,TOR,112,Win,Home,29,32,30,26,0,0,0,0,26,27,33,26,0,0,0,0
LAL,102,WAS,99,Win,Home,23,22,24,23,10,0,0,0,18,31,30,13,7,0,0,0
CHI,91,ATL,86,Win,Home,18,19,28,26,0,0,0,0,20,19,20,27,0,0,0,0
MEM,96,DAL,91,Win,Home,28,26,22,20,0,0,0,0,14,21,33,23,0,0,0,0
MIL,89,BOS,96,Loss,Home,23,21,25,20,0,0,0,0,28,15,29,24,0,0,0,0
POR,103,LAC,104,Loss,Home,24,29,26,24,0,0,0,0,30,32,18,24,0,0,0,0
SAC,106,NO,114,Loss,Home,40,30,17,19,0,0,0,0,27,29,32,26,0,0,0,0
CHA,93,HOU,109,Loss,Home,30,16,28,19,0,0,0,0,27,29,22,31,0,0,0,0
ORL,114,SA,87,Win,Home,32,29,34,19,0,0,0,0,18,16,30,23,0,0,0,0
ATL,100,DEN,105,Loss,Home,23,29,19,29,0,0,0,0,26,27,22,30,0,0,0,0
NY,107,BKN,86,Win,Home,23,24,36,24,0,0,0,0,28,14,24,20,0,0,0,0
MIN,119,OKC,116,Win,Home,26,33,31,29,0,0,0,0,33,26,30,27,0,0,0,0
GS,120,WAS,117,Win,Home,27,26,34,33,0,0,0,0,34,33,30,20,0,0,0,0
LAL,92,TOR,101,Loss,Home,26,25,20,21,0,0,0,0,19,26,27,29,0,0,0,0
NO,123,CLE,101,Win,Home,35,30,24,34,0,0,0,0,22,30,31,18,0,0,0,0
CHI,69,OKC,101,Loss,Home,23,8,22,16,0,0,0,0,26,24,32,19,0,0,0,0
MEM,103,HOU,89,Win,Home,30,24,27,22,0,0,0,0,32,17,23,17,0,0,0,0
MIA,90,BOS,96,Loss,Home,26,19,18,27,0,0,0,0,21,26,27,22,0,0,0,0
DAL,110,PHI,112,Loss,Home,23,33,22,32,0,0,0,0,32,25,32,23,0,0,0,0
UTA,96,LAL,81,Win,Home,31,25,19,21,0,0,0,0,16,29,19,17,0,0,0,0
POR,114,PHO,107,Win,Home,29,32,31,22,0,0,0,0,24,33,32,18,0,0,0,0
LAC,87,DET,95,Loss,Home,24,31,17,15,0,0,0,0,27,18,22,28,0,0,0,0
ATL,106,MIL,117,Loss,Home,16,32,25,33,0,0,0,0,28,33,31,25,0,0,0,0
IND,97,SA,94,Win,Home,26,27,15,29,0,0,0,0,24,24,16,30,0,0,0,0
BKN,111,DEN,124,Loss,Home,36,27,21,27,0,0,0,0,29,31,40,24,0,0,0,0
CHA,120,ORL,113,Win,Home,27,34,32,27,0,0,0,0,24,25,37,27,0,0,0,0
SAC,83,WAS,110,Loss,Home,16,16,28,23,0,0,0,0,35,28,25,22,0,0,0,0
CLE,95,NY,114,Loss,Home,19,35,21,20,0,0,0,0,29,33,30,22,0,0,0,0
GS,107,DET,115,Loss,Home,35,22,24,26,0,0,0,0,27,25,30,33,0,0,0,0
BOS,108,SA,94,Win,Home,30,24,26,28,0,0,0,0,26,23,18,27,0,0,0,0
MIA,122,MIN,125,Loss,Home,32,30,20,28,12,0,0,0,23,37,19,31,15,0,0,0
NY,116,DEN,110,Win,Home,35,30,19,32,0,0,0,0,25,18,38,29,0,0,0,0
HOU,107,PHI,115,Loss,Home,27,29,24,27,0,0,0,0,37,21,34,23,0,0,0,0
MEM,99,CHA,104,Loss,Home,31,26,25,17,0,0,0,0,31,20,22,31,0,0,0,0
NO,99,ORL,115,Loss,Home,24,40,20,15,0,0,0,0,33,27,27,28,0,0,0,0
UTA,104,DAL,89,Win,Home,21,23,32,28,0,0,0,0,27,26,15,21,0,0,0,0
POR,85,TOR,99,Loss,Home,29,6,26,24,0,0,0,0,29,25,27,18,0,0,0,0
LAC,113,GS,141,Loss,Home,28,29,29,27,0,0,0,0,34,40,33,34,0,0,0,0
IND,101,SAC,83,Win,Home,24,31,14,32,0,0,0,0,13,17,18,35,0,0,0,0
BKN,114,PHO,122,Loss,Home,24,29,35,26,0,0,0,0,30,29,28,35,0,0,0,0
MIL,91,OKC,110,Loss,Home,23,19,22,27,0,0,0,0,31,29,25,25,0,0,0,0
LAL,113,DET,93,Win,Home,25,33,29,26,0,0,0,0,22,23,27,21,0,0,0,0
CHA,126,MIL,121,Win,Home,25,35,28,38,0,0,0,0,32,25,31,33,0,0,0,0
