game_id,season,type,date_time_GMT,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start
2018020001,20182019,R,2018-10-03T23:00:00Z,8,10,2,3,home win OT,right
2018020002,20182019,R,2018-10-03T23:30:00Z,6,15,0,7,home win REG,right
2018020003,20182019,R,2018-10-04T02:00:00Z,20,23,2,5,home win REG,right
2018020004,20182019,R,2018-10-04T02:30:00Z,24,28,5,2,away win REG,left
2018020005,20182019,R,2018-10-04T23:00:00Z,6,7,4,0,away win REG,left
2018020007,20182019,R,2018-10-04T23:00:00Z,15,5,6,7,home win OT,left
2018020008,20182019,R,2018-10-04T23:00:00Z,2,12,2,1,away win OT,right
2018020006,20182019,R,2018-10-04T23:30:00Z,18,3,3,2,away win REG,right
2018020009,20182019,R,2018-10-04T23:30:00Z,16,9,4,3,away win OT,left
2018020010,20182019,R,2018-10-04T23:30:00Z,29,17,3,2,away win OT,right
2018020011,20182019,R,2018-10-05T00:00:00Z,52,19,5,1,away win REG,left
2018020012,20182019,R,2018-10-05T00:30:00Z,53,25,0,3,home win REG,right
2018020013,20182019,R,2018-10-05T01:00:00Z,30,21,1,4,home win REG,right
2018020014,20182019,R,2018-10-05T02:00:00Z,4,54,5,2,away win REG,
2018020015,20182019,R,2018-10-05T23:00:00Z,12,29,3,1,away win REG,left
2018020016,20182019,R,2018-10-06T02:30:00Z,28,26,3,2,away win OT,right
2018020020,20182019,R,2018-10-06T17:00:00Z,22,1,2,5,home win REG,left
2018020023,20182019,R,2018-10-06T23:00:00Z,52,25,1,5,home win REG,right
2018020017,20182019,R,2018-10-06T23:00:00Z,3,7,1,3,home win REG,left
2018020018,20182019,R,2018-10-06T23:00:00Z,9,10,5,3,away win REG,right
2018020019,20182019,R,2018-10-06T23:00:00Z,13,14,1,2,home win OT,left
2018020021,20182019,R,2018-10-06T23:00:00Z,18,2,4,3,away win REG,left
2018020022,20182019,R,2018-10-06T23:00:00Z,8,5,5,1,away win REG,left
2018020024,20182019,R,2018-10-07T00:00:00Z,16,19,5,4,away win OT,left
2018020025,20182019,R,2018-10-07T00:00:00Z,54,30,2,1,away win OT,right
2018020027,20182019,R,2018-10-07T01:00:00Z,24,53,1,0,away win REG,left
2018020026,20182019,R,2018-10-07T01:00:00Z,4,21,2,5,home win REG,right
2018020028,20182019,R,2018-10-07T02:00:00Z,23,20,4,7,home win REG,right
2018020029,20182019,R,2018-10-07T21:00:00Z,3,12,5,8,home win REG,right
2018020030,20182019,R,2018-10-07T23:00:00Z,10,16,7,6,away win OT,right
2018020031,20182019,R,2018-10-08T02:30:00Z,17,26,2,4,home win REG,right
2018020032,20182019,R,2018-10-08T17:00:00Z,9,6,3,6,home win REG,left
2018020033,20182019,R,2018-10-08T17:00:00Z,28,2,0,4,home win REG,left
